NAME,GEOID,state_name,Share with Medical Debt in Collections,"Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities","% population without health insurance, 2019 (ACS)","% white, non-Hispanic population without health insurance, 2019 (ACS)","% non-white population without health insurance, 2019 (ACS)","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Aleutians East Borough, Alaska",02013,Alaska,n/a*,n/a*,n/a**,.4630178,.211236,.5011925,n/a*,n/a*,n/a**,.8679468,79535,75681,97812
"Bristol Bay Borough, Alaska",02060,Alaska,n/a*,n/a*,n/a*,.2046512,.1281465,.2836879,n/a*,n/a*,n/a*,.4914286,96032,79036,110244
"Lake and Peninsula Borough, Alaska",02164,Alaska,n/a*,n/a*,n/a*,.3338119,.1541096,.3814714,n/a*,n/a*,n/a*,.7903805,58583,48212,96195
"Petersburg Borough, Alaska",02195,Alaska,n/a*,n/a*,n/a*,.0957807,.0714958,.1418376,n/a*,n/a*,n/a*,.3451028,92572,61559,103776
"Yakutat City and Borough, Alaska",02282,Alaska,n/a*,n/a**,n/a**,.2372881,.1530249,.3016304,n/a*,n/a**,n/a**,.5670262,76895,67697,87253
"Alpine County, California",06003,California,n/a*,n/a**,n/a**,.0885467,.061706,.1188525,n/a*,n/a**,n/a**,.4696824,97724,73313,106429
"Cheyenne County, Colorado",08017,Colorado,n/a*,n/a**,n/a*,.1169945,.0782159,.2545872,n/a*,n/a**,n/a*,.2221125,70046,64134,70954
"Hinsdale County, Colorado",08053,Colorado,n/a*,n/a**,n/a*,.1003501,.0856031,.2325581,n/a*,n/a**,n/a*,.1003501,74731,45630,76622
"Jackson County, Colorado",08057,Colorado,n/a*,n/a**,n/a*,.0613057,.0591085,.0714286,n/a*,n/a**,n/a*,.1784298,64192,49215,66518
"Mineral County, Colorado",08079,Colorado,n/a*,n/a**,n/a*,.0910194,.0758427,.1875,n/a*,n/a**,n/a*,.1359223,74266,78267,74023
"San Juan County, Colorado",08111,Colorado,n/a*,n/a**,n/a*,.0882852,.0516252,.3787879,n/a*,n/a**,n/a*,.1120543,68152,49389,71522
"Kalawao County, Hawaii",15005,Hawaii,n/a*,n/a*,n/a**,0,0,0,n/a*,n/a*,n/a**,.7727273,83246,84386,79940
"Camas County, Idaho",16025,Idaho,n/a*,n/a**,n/a*,.1211832,.1070039,.85,n/a*,n/a**,n/a*,.019084,72695,30327,73911
"Clark County, Idaho",16033,Idaho,n/a*,n/a**,n/a**,.3044907,.0427553,.5284553,n/a*,n/a**,n/a**,.5388828,52716,41827,59975
"Clark County, Kansas",20025,Kansas,n/a*,n/a**,n/a*,.0509424,.0500569,.0585366,n/a*,n/a**,n/a*,.1026653,63616,64789,63496
"Greeley County, Kansas",20071,Kansas,n/a*,n/a**,n/a*,.0554593,.0455607,.0838926,n/a*,n/a**,n/a*,.2548523,65953,50421,69614
"Hodgeman County, Kansas",20083,Kansas,n/a*,n/a**,n/a*,.0856833,.0585697,.2837838,n/a*,n/a**,n/a*,.1188699,72283,48038,74756
"Wallace County, Kansas",20199,Kansas,n/a*,n/a**,n/a*,.0593932,.0465444,.1984733,n/a*,n/a**,n/a*,.0844981,68214,53078,69257
"Wichita County, Kansas",20203,Kansas,n/a*,n/a**,n/a**,.0633333,.0132193,.1425061,n/a*,n/a**,n/a**,.3826291,68597,60510,72258
"Issaquena County, Mississippi",28055,Mississippi,n/a*,n/a*,n/a*,.116651,.0554156,.1531532,n/a*,n/a*,n/a*,.629684,49035,47660,51290
"Carter County, Montana",30011,Montana,n/a*,n/a**,n/a*,.2042846,.2086957,.0714286,n/a*,n/a**,n/a*,.0315552,64512,46500,64657
"Garfield County, Montana",30033,Montana,n/a*,n/a**,n/a*,.1148649,.1157588,0,n/a*,n/a**,n/a*,.007722,65237,35429,65721
"Golden Valley County, Montana",30037,Montana,n/a*,n/a**,n/a*,.1016484,.107362,.0526316,n/a*,n/a**,n/a*,.1043956,62931,87658,62056
"Liberty County, Montana",30051,Montana,n/a*,n/a**,n/a*,.0862661,.0851528,.15,n/a*,n/a**,n/a*,.017014,84727,68056,84897
"Petroleum County, Montana",30069,Montana,n/a*,n/a**,n/a*,.0860927,.0911215,0,n/a*,n/a**,n/a*,.0551876,69975,72056,69684
"Powder River County, Montana",30075,Montana,n/a*,n/a**,n/a*,.0683977,.0476515,.3454545,n/a*,n/a**,n/a*,.0696951,68431,58179,68836
"Prairie County, Montana",30079,Montana,n/a*,n/a**,n/a*,.0397083,.0405629,0,n/a*,n/a**,n/a*,.0223642,64764,n/a**,64764
"Wibaux County, Montana",30109,Montana,n/a*,n/a**,n/a*,.1279492,.1231814,.1971831,n/a*,n/a**,n/a*,.0677362,61871,61400,61895
"Arthur County, Nebraska",31005,Nebraska,n/a*,n/a**,n/a*,.1147541,.1026895,.3888889,n/a*,n/a**,n/a*,.0421546,60130,31700,60870
"Banner County, Nebraska",31007,Nebraska,n/a*,n/a**,n/a*,.0415512,.0214724,.2285714,n/a*,n/a**,n/a*,.0969529,67962,19071,74638
"Blaine County, Nebraska",31009,Nebraska,n/a*,n/a**,n/a*,.0545073,.0545073,n/a**,n/a*,n/a**,n/a*,0,56038,n/a**,56038
"Frontier County, Nebraska",31063,Nebraska,n/a*,n/a**,n/a*,.0961977,.0878165,.3039216,n/a*,n/a**,n/a*,.0390152,66014,34783,66862
"Grant County, Nebraska",31075,Nebraska,n/a*,n/a**,n/a*,.1142061,.1186686,0,n/a*,n/a**,n/a*,.0429363,59757,47325,59932
"Greeley County, Nebraska",31077,Nebraska,n/a*,n/a**,n/a*,.0606961,.0631625,0,n/a*,n/a**,n/a*,.038623,61001,73460,60752
"Hayes County, Nebraska",31085,Nebraska,n/a*,n/a**,n/a*,.0828667,.0818071,.0945946,n/a*,n/a**,n/a*,.0828667,70359,76186,70023
"Hooker County, Nebraska",31091,Nebraska,n/a*,n/a**,n/a*,.0854573,.0752864,.1964286,n/a*,n/a**,n/a*,.0808081,58286,47068,59901
"Keya Paha County, Nebraska",31103,Nebraska,n/a*,n/a**,n/a*,.0644737,.0640854,.0909091,n/a*,n/a**,n/a*,.0144737,71348,27567,71784
"Loup County, Nebraska",31115,Nebraska,n/a*,n/a**,n/a*,.0512397,.0523649,0,n/a*,n/a**,n/a*,.0214876,59443,18391,61038
"McPherson County, Nebraska",31117,Nebraska,n/a*,n/a**,n/a*,.0455696,.0462725,0,n/a*,n/a**,n/a*,.0151899,59324,n/a**,59324
"Rock County, Nebraska",31149,Nebraska,n/a*,n/a**,n/a*,.0902475,.0934439,0,n/a*,n/a**,n/a*,.0346535,80822,15000,81247
"Thomas County, Nebraska",31171,Nebraska,n/a*,n/a**,n/a*,.027907,.0293638,0,n/a*,n/a**,n/a*,.0496124,82762,23400,87133
"Wheeler County, Nebraska",31183,Nebraska,n/a*,n/a**,n/a*,.1136654,.1172596,0,n/a*,n/a**,n/a*,.0306513,62582,21430,63807
"Esmeralda County, Nevada",32009,Nevada,n/a*,n/a**,n/a*,.1194185,.0725389,.3089005,n/a*,n/a**,n/a*,.2012384,50154,37051,52405
"Harding County, New Mexico",35021,New Mexico,n/a*,n/a*,n/a*,.0776256,.0423077,.1292135,n/a*,n/a*,n/a*,.4104308,69065,36974,84325
"Billings County, North Dakota",38007,North Dakota,n/a*,n/a**,n/a*,.0292842,.0301676,0,n/a*,n/a**,n/a*,.0292842,98764,n/a**,98764
"Hettinger County, North Dakota",38041,North Dakota,n/a*,n/a**,n/a*,.0830173,.0867416,.027027,n/a*,n/a**,n/a*,.0903023,79987,58843,80595
"Oliver County, North Dakota",38065,North Dakota,n/a*,n/a**,n/a*,.0707676,.0754375,.0277778,n/a*,n/a**,n/a*,.0977199,88881,27035,90339
"Sheridan County, North Dakota",38083,North Dakota,n/a*,n/a**,n/a*,.058907,.0567121,.25,n/a*,n/a**,n/a*,.0113556,64388,24240,64664
"Slope County, North Dakota",38087,North Dakota,n/a*,n/a**,n/a*,.0067385,.006993,0,n/a*,n/a**,n/a*,.0363881,76096,125400,74374
"Steele County, North Dakota",38091,North Dakota,n/a*,n/a**,n/a*,.0498853,.0511464,0,n/a*,n/a**,n/a*,.024656,86840,90019,86730
"Wheeler County, Oregon",41069,Oregon,n/a*,n/a**,n/a*,.0522968,.0307692,.2,n/a*,n/a**,n/a*,.1272085,48248,63407,46822
"Buffalo County, South Dakota",46017,South Dakota,n/a*,n/a*,n/a*,.3928924,.0144404,.4528302,n/a*,n/a*,n/a*,.8632774,41952,38267,56341
"Harding County, South Dakota",46063,South Dakota,n/a*,n/a**,n/a*,.0652681,.0661642,.0537634,n/a*,n/a**,n/a*,.0788668,77628,n/a**,77628
"Hyde County, South Dakota",46069,South Dakota,n/a*,n/a*,n/a*,.04375,.0285459,.1509434,n/a*,n/a*,n/a*,.1205459,73326,59048,75131
"Jerauld County, South Dakota",46073,South Dakota,n/a*,n/a**,n/a*,.0734177,.0642742,.2314815,n/a*,n/a**,n/a*,.055005,92714,49997,94302
"Jones County, South Dakota",46075,South Dakota,n/a*,n/a**,n/a*,.1500631,.1397558,.2857143,n/a*,n/a**,n/a*,.0706179,55466,24660,56642
"Mellette County, South Dakota",46095,South Dakota,n/a*,n/a*,n/a**,.3427861,.2589744,.395935,n/a*,n/a*,n/a**,.6145224,42062,21653,60530
"Sully County, South Dakota",46119,South Dakota,n/a*,n/a**,n/a*,.051341,.0534717,0,n/a*,n/a**,n/a*,.0398467,91160,43375,92189
"Ziebach County, South Dakota",46137,South Dakota,n/a*,n/a*,n/a**,.2748119,.1445967,.3149016,n/a*,n/a*,n/a**,.7646005,52721,42990,73559
"Borden County, Texas",48033,Texas,n/a*,n/a**,n/a*,.0554649,.0505837,.0808081,n/a*,n/a**,n/a*,.1615008,88236,83815,88504
"Cottle County, Texas",48101,Texas,n/a*,n/a**,n/a**,.1187576,.0964706,.1426768,n/a*,n/a**,n/a**,.4823386,45301,26887,62361
"Dickens County, Texas",48125,Texas,n/a*,n/a**,n/a*,.1858238,.1448371,.2775194,n/a*,n/a**,n/a*,.3300045,59602,33567,69164
"Glasscock County, Texas",48173,Texas,n/a*,n/a**,n/a**,.2046358,.0141343,.4493192,n/a*,n/a**,n/a**,.4377483,105467,43483,137392
"Irion County, Texas",48235,Texas,n/a*,n/a**,n/a*,.1471322,.1523297,.1352459,n/a*,n/a**,n/a*,.3012346,66890,53356,70386
"Kenedy County, Texas",48261,Texas,n/a*,n/a*,n/a**,.2588028,0,.2732342,n/a*,n/a*,n/a**,.9471831,39930,39750,41296
"Kent County, Texas",48263,Texas,n/a*,n/a**,n/a*,.0482529,.0571992,0,n/a*,n/a**,n/a*,.1622875,73663,35926,81311
"King County, Texas",48269,Texas,n/a*,n/a**,n/a*,.0421941,.0440252,.0384615,n/a*,n/a**,n/a*,.3291139,66635,32838,75500
"Loving County, Texas",48301,Texas,n/a*,n/a**,n/a*,.122449,.1445783,0,n/a*,n/a**,n/a*,.1530612,105773,17480,123432
"McMullen County, Texas",48311,Texas,n/a*,n/a**,n/a**,.1782946,.0289474,.322335,n/a*,n/a**,n/a**,.5090439,92126,47192,124466
"Martin County, Texas",48317,Texas,n/a*,n/a**,n/a*,.1092437,.074454,.1501361,n/a*,n/a**,n/a*,.4606125,91265,66619,104886
"Motley County, Texas",48345,Texas,n/a*,n/a**,n/a*,.1837061,.1512876,.278125,n/a*,n/a**,n/a*,.2555911,65925,54859,67805
"Roberts County, Texas",48393,Texas,n/a*,n/a**,n/a*,.1055901,.117037,.0461538,n/a*,n/a**,n/a*,.1614907,81712,64650,82299
"Sterling County, Texas",48431,Texas,n/a*,n/a**,n/a**,.2294807,.0561594,.3785047,n/a*,n/a**,n/a**,.530463,73677,76811,70571
"Stonewall County, Texas",48433,Texas,n/a*,n/a**,n/a*,.1401542,.1395564,.142029,n/a*,n/a**,n/a*,.2411924,62955,33165,71306
"Terrell County, Texas",48443,Texas,n/a*,n/a*,n/a*,.0948661,.0084986,.1510129,n/a*,n/a*,n/a*,.6060268,53102,43765,63377
"Throckmorton County, Texas",48447,Texas,n/a*,n/a**,n/a*,.1592179,.1021417,.4770642,n/a*,n/a**,n/a*,.1518106,61731,58010,62259
"Daggett County, Utah",49009,Utah,n/a*,n/a**,n/a*,.0232108,.0194932,.5,n/a*,n/a**,n/a*,.0261011,80329,n/a**,80329
"Piute County, Utah",49031,Utah,n/a*,n/a**,n/a*,.19716,.1879572,.5,n/a*,n/a**,n/a*,.0326902,57805,28900,58702
"Boyd County, Nebraska",31015,Nebraska,0,n/a**,0,.1341016,.1302428,.2061856,n/a*,n/a**,n/a*,.0500774,65047,76929,64764
"Deuel County, Nebraska",31049,Nebraska,0,n/a**,0,.150798,.1474279,.1748879,n/a*,n/a**,n/a*,.1217914,58781,40717,60761
"Logan County, North Dakota",38047,North Dakota,0,n/a**,0,.0233853,.0224009,.0545455,n/a*,n/a**,n/a*,.0293803,73990,79984,73763
"Douglas County, South Dakota",46043,South Dakota,0,n/a**,0,.1356411,.1219055,.3575758,n/a*,n/a**,n/a*,.0563332,75332,59123,76112
"Miner County, South Dakota",46097,South Dakota,0,n/a**,0,.0576834,.0557982,.0943396,n/a*,n/a**,n/a*,.049299,64813,35656,65313
"Turner County, South Dakota",46125,South Dakota,0,n/a**,0,.0587151,.0568739,.0956072,n/a*,n/a**,n/a*,.0473494,72813,60490,73076
"Lenoir County, North Carolina",37107,North Carolina,.4383562,.5207101,.3881579,.125331,.084594,.1649433,823,1007,740,.5078406,56708,44487,67511
"Greene County, North Carolina",37079,North Carolina,.4381551,n/a**,n/a*,.1659615,.0892415,.2356187,768,n/a**,n/a*,.5324014,53007,43450,61548
"Haskell County, Texas",48207,Texas,.4293785,n/a**,.4375,.2084993,.1931567,.2422587,1791,n/a**,1897,.3534754,49230,37697,53127
"Anson County, North Carolina",37007,North Carolina,.4275568,.4793926,.3357664,.1106883,.0864551,.1308064,1180,1267,n/a*,.5540117,52077,40953,64531
"Harmon County, Oklahoma",40057,Oklahoma,.4210526,n/a**,n/a*,.1520244,.0953347,.2256365,n/a*,n/a**,n/a*,.4317343,65261,49663,73609
"Pecos County, Texas",48371,Texas,.4164859,.4621212,n/a*,.1809186,.0720957,.2177738,1294,1276,n/a*,.7481505,68797,63209,82268
"Tyrrell County, North Carolina",37177,North Carolina,.3982301,n/a**,n/a*,.1334923,.0890052,.1922545,n/a*,n/a**,n/a*,.4688645,47736,33143,58509
"Greer County, Oklahoma",40055,Oklahoma,.397351,n/a**,.397351,.1696392,.1520952,.2405858,861,n/a**,861,.2545641,51609,32609,55364
"Baker County, Georgia",13007,Georgia,.3918919,n/a**,n/a*,.1155811,.091425,.1403622,n/a*,n/a**,n/a*,.4936143,47336,42219,52347
"Nolan County, Texas",48353,Texas,.3909465,n/a**,n/a*,.189962,.1326893,.2614938,761,n/a**,n/a*,.4447128,64120,56987,68182
"Hertford County, North Carolina",37091,North Carolina,.3768595,.3831615,n/a**,.113828,.1239551,.1086167,603,604,n/a**,.6674996,50420,45805,58155
"Duplin County, North Carolina",37061,North Carolina,.3768029,.3966597,.3526971,.1705793,.0949854,.2507829,612,594,706,.4843896,52929,39224,62257
"Accomack County, Virginia",51001,Virginia,.3753281,.5063291,.3162275,.1662586,.1299964,.22052,868,862,864,.3997184,63100,49308,69458
"Cleveland County, North Carolina",37045,North Carolina,.3732028,n/a**,.3753528,.1261554,.1251641,.1287715,1420,n/a**,1440,.270934,62849,51936,66208
"Pemiscot County, Missouri",29155,Missouri,.3729977,n/a**,.352071,.1286745,.1309935,.123658,1241,n/a**,1067,.3147692,50700,33003,57972
"Marlboro County, South Carolina",45069,South Carolina,.3713942,.366782,.2588235,.1192139,.1169268,.120802,682,702,n/a*,.6091653,45340,38311,54418
"Scotland County, North Carolina",37165,North Carolina,.3706721,.3888889,n/a**,.1147403,.0931762,.1316142,858,n/a*,n/a**,.5681378,48707,39158,59287
"Edgecombe County, North Carolina",37065,North Carolina,.3700787,.3673835,.3421053,.1033444,.0998138,.1053358,647,857,n/a*,.637878,50394,43271,61814
"Gonzales County, Texas",48177,Texas,.3693271,.4205607,.3928571,.1859658,.0974462,.2488915,1085,n/a*,n/a*,.583474,76060,58797,93577
"Laurens County, South Carolina",45059,South Carolina,.3687356,n/a**,.3687356,.1527127,.1392569,.1808818,1647,n/a**,1647,.3213655,67205,62430,69345
"Panola County, Texas",48365,Texas,.3671562,n/a**,.3653586,.1711911,.1406536,.2548575,1136,n/a**,1135,.2681871,68305,54705,72048
"Ben Hill County, Georgia",13017,Georgia,.366718,n/a**,.3855422,.1776229,.1528408,.2086945,1325,n/a**,n/a*,.4416133,43566,28041,56083
"Poinsett County, Arkansas",05111,Arkansas,.3636364,n/a**,.3645971,.1131154,.1056748,.1622057,736,n/a**,736,.1319049,51257,33091,53571
"Carter County, Kentucky",21043,Kentucky,.3609272,n/a**,.358804,.0804084,.0809936,.0630011,747,n/a**,763,.0335432,49489,39264,49755
"Boone County, West Virginia",54005,West Virginia,.3580645,n/a**,.3580645,.0567293,.0548292,.1354962,1000,n/a**,1000,.0235604,52513,60546,52363
"Wilcox County, Georgia",13315,Georgia,.3580247,n/a**,.4,.169582,.1393425,.2397834,1227,n/a**,n/a*,.4148912,53060,37148,58433
"Elliott County, Kentucky",21063,Kentucky,.3571429,n/a**,.3571429,.0514152,.0517183,0,381,n/a**,381,.0436751,43276,11600,43490
"Franklin city, Virginia",51620,Virginia,.356,n/a**,n/a**,.0672227,.0308219,.088011,628,n/a**,n/a**,.6313981,53105,43702,66369
"Jim Hogg County, Texas",48247,Texas,.3521127,.3521127,n/a**,.215,.1885442,.2173186,1440,1440,n/a**,.9191359,48856,47168,64211
"Brooks County, Georgia",13027,Georgia,.3502304,n/a**,n/a*,.1809087,.1478142,.2239715,943,n/a**,n/a*,.435279,60621,43296,71788
"Bertie County, North Carolina",37015,North Carolina,.3474714,.3809524,n/a**,.1187517,.0750431,.1425525,576,582,n/a**,.6544892,55018,41986,76844
"Cimarron County, Oklahoma",40025,Oklahoma,.3466667,n/a**,.3466667,.1483542,.1098371,.276,n/a*,n/a**,n/a*,.2336707,64782,67701,64194
"Mississippi County, Arkansas",05093,Arkansas,.3453479,n/a**,.3289036,.0743668,.0680227,.0831224,722,n/a**,638,.4172245,56558,44849,64139
"Pitt County, North Carolina",37147,North Carolina,.3450135,.4529444,.2831609,.0919867,.0466358,.1448823,764,859,683,.4558854,72458,53565,86087
"Hockley County, Texas",48219,Texas,.34278,n/a**,.2533333,.1759142,.108103,.2350578,833,n/a**,n/a*,.5306972,64011,50065,74744
"Cherokee County, South Carolina",45021,South Carolina,.3417518,n/a**,.342511,.1050529,.0843651,.1604184,764,n/a**,772,.2722032,51138,34284,56824
"Dooly County, Georgia",13093,Georgia,.3407407,.3010753,n/a*,.1669089,.0902985,.2253702,1213,n/a*,n/a*,.5741118,57325,43634,72830
"Hutchinson County, Texas",48233,Texas,.3381295,n/a**,.3377386,.190734,.1693252,.2420077,1402,n/a**,1405,.2963831,66016,55582,68642
"Andrews County, Texas",48003,Texas,.3356522,n/a**,n/a**,.1978487,.0927346,.267824,839,n/a**,n/a**,.5982479,92927,77759,109171
"Pleasants County, West Virginia",54073,West Virginia,.335,n/a**,.335,.0511822,.0483799,.1297071,496,n/a**,496,.0415664,78502,76195,78536
"Jones County, Texas",48253,Texas,.3346939,n/a**,.3272171,.1549965,.1060453,.2649141,1116,n/a**,979,.4585067,67098,48125,73547
"Portsmouth city, Virginia",51740,Virginia,.3337488,.3628081,n/a**,.0738715,.0527667,.0860566,809,798,n/a**,.623353,67492,57586,81970
"Turner County, Georgia",13287,Georgia,.3333333,n/a**,.2428571,.1288889,.1121359,.1484419,1708,n/a**,n/a*,.4625456,50365,33436,65087
"Duval County, Texas",48131,Texas,.3333333,.3333333,n/a**,.2200112,.1371728,.2280845,1378,1378,n/a**,.9065495,49597,49304,51763
"Robeson County, North Carolina",37155,North Carolina,.3328877,.3501075,n/a*,.1307465,.0924925,.1430811,790,807,n/a*,.7486199,48129,43215,60522
"Karnes County, Texas",48255,Texas,.3318872,.3877551,.1623932,.1437505,.067144,.196785,1358,1308,n/a*,.6415568,89471,60227,118606
"Cook County, Georgia",13075,Georgia,.3302064,n/a**,.3125,.1795082,.1651276,.2058336,1173,n/a**,1126,.3528556,52709,36998,59861
"Jim Wells County, Texas",48249,Texas,.3299768,.337943,.2622951,.1825843,.1179949,.1962846,1254,1302,n/a*,.8204383,62079,58304,78860
"Potter County, Texas",48375,Texas,.3285714,.4205539,.2648649,.239376,.1507998,.3073094,1712,1736,1615,.5677554,53195,47853,58087
"Gates County, North Carolina",37073,North Carolina,.3273273,n/a**,.3402062,.0657792,.0665477,.0644471,482,n/a**,489,.3674229,63905,52682,70286
"Haralson County, Georgia",13143,Georgia,.3259259,n/a**,.3252119,.1231994,.1265621,.0885233,702,n/a**,703,.0912512,63993,51496,64984
"Boyd County, Kentucky",21019,Kentucky,.3256558,n/a**,.3242365,.059848,.0543074,.1512957,1074,n/a**,1061,.0689778,65925,85683,65128
"Morris County, Texas",48343,Texas,.3245968,n/a**,.2922535,.1583729,.1575534,.159853,1322,n/a**,1451,.3560171,55192,40024,61998
"Beaufort County, North Carolina",37013,North Carolina,.3244782,n/a**,.3288136,.1203864,.0866147,.1853101,720,n/a**,701,.3417783,64182,38089,75380
"Berrien County, Georgia",13019,Georgia,.3234811,n/a**,.3223684,.2267309,.2048942,.3250729,1162,n/a**,1148,.1817565,49598,30724,52791
"Brooks County, Texas",48047,Texas,.3232759,.3232759,n/a**,.2246135,.2307692,.2241436,1490,1490,n/a**,.9330626,41308,41602,37845
"Hancock County, Georgia",13141,Georgia,.3231441,.3259912,n/a**,.1086885,.0832274,.1176339,775,775,n/a**,.7568996,48174,37963,72631
"Cherokee County, Texas",48073,Texas,.3229018,n/a*,.3222004,.1902766,.1410703,.2711266,631,n/a*,693,.3931463,62730,47539,69212
"Wayne County, North Carolina",37191,North Carolina,.3228129,.4313726,.293913,.1267338,.0977753,.1583899,626,530,726,.4657654,59250,48727,67359
"Newton County, Texas",48351,Texas,.3227666,.3142857,.3249097,.2003788,.1848234,.2442281,549,n/a*,606,.2652724,54004,37177,59337
"Chicot County, Arkansas",05017,Arkansas,.3220859,.3170732,n/a*,.0926653,.0597424,.1117647,851,729,n/a*,.6127179,50528,42784,61866
"Dillon County, South Carolina",45033,South Carolina,.3207991,.3422131,.2790698,.1445775,.1402761,.1481728,721,872,n/a*,.5440711,45654,36086,54848
"Kiowa County, Oklahoma",40075,Oklahoma,.3201439,n/a**,.3201439,.1399793,.1309781,.1664399,1371,n/a**,1371,.2578213,52399,33347,57011
"Crisp County, Georgia",13081,Georgia,.3198198,n/a*,n/a*,.1571089,.169974,.1442773,1028,n/a*,n/a*,.5011668,56889,39216,70687
"Columbus County, North Carolina",37047,North Carolina,.3196772,.3894737,.3059829,.1259109,.1149165,.1429669,1475,1515,1707,.4068453,55616,44645,61445
"Clay County, Arkansas",05021,Arkansas,.3192389,n/a**,.3192389,.0648568,.0637966,.087963,925,n/a**,925,.0466116,50617,35491,51223
"Dunklin County, Missouri",29069,Missouri,.3185265,n/a**,.3185265,.156201,.1448071,.2029944,886,n/a**,886,.1962567,52761,35301,55732
"Lamb County, Texas",48279,Texas,.3185185,.334507,n/a*,.2296858,.1692677,.267794,1114,1190,n/a*,.6069496,59521,48791,70405
"Talbot County, Georgia",13263,Georgia,.3184713,.3333333,.3013699,.149635,.124805,.1666667,633,n/a*,n/a*,.5931023,49085,40666,61017
"Caldwell County, Texas",48055,Texas,.3183415,.3173913,n/a**,.2340919,.157426,.2847493,765,727,n/a**,.6033124,73546,65093,81382
"Martin County, North Carolina",37117,North Carolina,.3181818,.3782384,.2571429,.1004494,.0880877,.1137423,845,849,n/a*,.4794083,55603,42127,67856
"Marion County, South Carolina",45067,South Carolina,.3174767,.3130081,n/a*,.1280802,.0787238,.1589335,790,809,n/a*,.614252,49353,37450,67286
"Mingo County, West Virginia",54059,West Virginia,.3173803,n/a**,.3177691,.0452348,.0449191,.0523256,810,n/a**,824,.0424866,47066,26306,47765
"Ector County, Texas",48135,Texas,.3171178,.3504019,.2977099,.2180274,.1181793,.2611167,1252,1352,n/a*,.6957701,84688,73536,104719
"Covington city, Virginia",51580,Virginia,.3163842,n/a**,.3163842,.0994907,.0868592,.1542192,521,n/a**,521,.1900679,57657,61585,57096
"Taylor County, Florida",12123,Florida,.3158683,n/a**,.3172205,.0964215,.094987,.1023959,784,n/a**,789,.2794239,50152,34486,53979
"Chattooga County, Georgia",13055,Georgia,.3152455,n/a**,.3152455,.1419916,.12518,.2560647,958,n/a**,958,.172336,48964,34720,50632
"Henderson County, Texas",48213,Texas,.3149662,n/a**,.3153881,.2005357,.1765963,.281806,1131,n/a**,1131,.2182312,69813,50727,73840
"Northampton County, Virginia",51131,Virginia,.3144208,n/a*,.2428571,.1089688,.0685235,.1571995,876,n/a*,729,.4577198,64936,46869,76623
"Richmond County, Virginia",51159,Virginia,.3141762,n/a*,.4126984,.0689418,.0562198,.0932,597,n/a*,n/a*,.3944169,62594,50506,67914
"Choctaw County, Oklahoma",40023,Oklahoma,.3141026,n/a**,.251462,.2209382,.1712895,.2966672,1662,n/a**,n/a*,.3937327,50312,46435,52369
"Johnson County, Kentucky",21115,Kentucky,.3136428,n/a**,.3136428,.0441789,.0448801,.0176056,840,n/a**,840,.0276575,55898,47692,56093
"Upton County, Texas",48461,Texas,.3135593,.28,n/a**,.1124375,.0507143,.1516803,n/a*,n/a*,n/a**,.6086363,65771,56403,77516
"Halifax County, North Carolina",37083,North Carolina,.3134615,.3447684,.1582278,.1238055,.1057752,.1350946,541,568,n/a*,.6159992,51994,44742,62297
"Coahoma County, Mississippi",28027,Mississippi,.3129032,.3120805,n/a*,.1304822,.1031409,.1375508,2018,2024,n/a*,.7921307,48300,34415,91878
"Newberry County, South Carolina",45071,South Carolina,.3125475,n/a*,.2629108,.0869473,.0607723,.1260999,1263,n/a*,1231,.4008745,61507,42431,72508
"Essex County, Virginia",51057,Virginia,.3125,n/a*,.3014706,.0858271,.0745415,.0993739,906,n/a*,n/a*,.4515367,62500,48367,72668
"Bryan County, Oklahoma",40013,Oklahoma,.3122142,n/a**,.3130904,.1792229,.1511788,.2476077,1708,n/a**,1708,.2897303,61932,55004,64187
"Rusk County, Texas",48401,Texas,.3113456,n/a**,.3098266,.1837368,.1349182,.2781608,1069,n/a**,1121,.3625337,72751,53639,80544
"Washington County, North Carolina",37187,North Carolina,.3106061,.3564357,.2156863,.119568,.1012393,.1343261,515,n/a*,n/a*,.5562825,48062,37164,59878
"Tunica County, Mississippi",28143,Mississippi,.3099415,.3217666,n/a**,.1509166,.1310044,.1554533,965,987,n/a**,.8100721,52941,49688,64218
"Terry County, Texas",48445,Texas,.3098958,.3038348,n/a*,.2312094,.1876079,.2604665,681,681,n/a*,.6051245,62202,50359,73717
"Polk County, Georgia",13233,Georgia,.3097744,n/a**,.3100075,.1570145,.1236396,.2428131,825,n/a**,825,.2799465,64011,48508,68264
"Warren County, Georgia",13301,Georgia,.3089005,.3216783,n/a*,.1295694,.102551,.1457887,742,n/a*,n/a*,.6250708,53077,42140,69141
"Bamberg County, South Carolina",45009,South Carolina,.3078818,.3079268,.3013699,.1348703,.1518468,.1252895,1196,1123,n/a*,.6403033,47242,36754,64366
"Bee County, Texas",48025,Texas,.3075862,.3198758,n/a*,.1917764,.1266062,.225294,1532,1551,n/a*,.6861795,63623,57016,72977
