NAME,GEOID,state_name,Share with Medical Debt in Collections,"Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities","% population without health insurance, 2019 (ACS)","% white, non-Hispanic population without health insurance, 2019 (ACS)","% non-white population without health insurance, 2019 (ACS)","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Middlesex County, Connecticut",09007,Connecticut,.0728328,n/a**,.072901,.0331968,.0312283,.0428083,304,n/a**,304,.1609661,100657,56715,107917
"Delaware County, Ohio",39041,Ohio,.0727929,n/a**,.0717733,.0371423,.0340695,.0530005,428,n/a**,425,.1495563,135296,131752,135840
"Garden County, Nebraska",31069,Nebraska,.0727273,n/a**,.0727273,.099283,.1037515,.0280374,n/a*,n/a**,n/a*,.0574034,70294,81339,69994
"Lincoln County, Wyoming",56023,Wyoming,.0726979,n/a**,.0726979,.1367218,.1341332,.167336,n/a*,n/a**,n/a*,.0782401,80323,52076,81876
"Story County, Iowa",19169,Iowa,.07251,n/a**,.0724,.0658584,.0348846,.2238222,627,n/a**,635,.1649042,79726,42179,87054
"Jones County, Iowa",19105,Iowa,.0724409,n/a**,.0727848,.031078,.029086,.0754491,n/a*,n/a**,n/a*,.061287,73371,56778,73928
"Park County, Montana",30067,Montana,.0723104,n/a**,.0723104,.1027991,.1041296,.0839552,n/a*,n/a**,n/a*,.0665974,73960,95290,72632
"Otoe County, Nebraska",31131,Nebraska,.0719844,n/a**,.0719844,.0636254,.0423151,.2311161,n/a*,n/a**,n/a*,.1124208,75729,57542,77258
"Sonoma County, California",06097,California,.0719505,.1038552,.0623569,.0583576,.0243868,.11545,541,408,602,.3727606,117426,98684,123938
"Nevada County, California",06057,California,.0719237,n/a**,.0670103,.0534456,.0569196,.0341835,896,n/a**,896,.1484322,97744,104273,97159
"Pitkin County, Colorado",08097,Colorado,.0718954,n/a**,.0716912,.0994914,.0751294,.2412348,n/a*,n/a**,n/a*,.1467143,123052,97552,125147
"St. Mary's County, Maryland",24037,Maryland,.071725,n/a*,.0660156,.0324112,.027922,.0446867,456,n/a*,432,.2590881,113054,88560,119515
"Chouteau County, Montana",30015,Montana,.0714286,n/a**,.0714286,.109353,.0890364,.176649,n/a*,n/a**,n/a*,.2308095,57531,34993,62226
"Napa County, California",06055,California,.0713961,.0607735,.0582192,.0659228,.02939,.1048752,567,n/a*,n/a*,.4853061,130499,111148,140243
"Clinton County, New York",36019,New York,.0712141,n/a*,.0705521,.0328048,.0330844,.0288937,247,n/a*,244,.1007036,81738,71318,82042
"Saratoga County, New York",36091,New York,.0711152,n/a**,.0711152,.0242608,.0236549,.0297117,400,n/a**,400,.0964543,105941,117692,104996
"Waukesha County, Wisconsin",55133,Wisconsin,.0709563,n/a**,.0704421,.0299567,.0228752,.082127,781,n/a**,778,.1203643,119042,122610,118698
"Hickman County, Kentucky",21105,Kentucky,.070922,n/a**,.070922,.0464744,.0339343,.1258389,n/a*,n/a**,n/a*,.1354767,66137,28834,70701
"Orange County, California",06059,California,.0707588,.0753544,.0610666,.0766285,.0414028,.0998445,684,718,604,.6029508,127176,108502,145438
"Green County, Wisconsin",55045,Wisconsin,.0706714,n/a**,.0706714,.0371293,.0346227,.0790495,854,n/a**,854,.0569438,80424,76517,80545
"Shoshone County, Idaho",16079,Idaho,.070615,n/a**,.070615,.1489806,.1440775,.199456,n/a*,n/a**,n/a*,.087953,53892,27800,55841
"Republic County, Kansas",20157,Kansas,.0705882,n/a**,.0710059,.0509847,.040404,.2663551,n/a*,n/a**,n/a*,.0459425,58436,60317,58390
"Burt County, Nebraska",31021,Nebraska,.0704225,n/a**,.0704225,.1007015,.0884228,.2615385,n/a*,n/a**,n/a*,.0706605,73339,36493,75613
"Ramsey County, North Dakota",38071,North Dakota,.0703812,n/a**,.0716418,.0558494,.0394865,.1362672,n/a*,n/a**,n/a*,.1697315,78592,41038,83669
"Douglas County, Oregon",41019,Oregon,.0702306,n/a**,.0700184,.0665874,.0682035,.0553225,748,n/a**,741,.1216343,63462,66116,63197
"Ventura County, California",06111,California,.0699573,.0972856,.0493239,.093972,.0407334,.1366677,531,502,543,.5549393,121196,101144,135311
"Los Angeles County, California",06037,California,.0699388,.0770426,.0469692,.0985226,.0472425,.1163694,743,778,641,.7413136,104063,86876,135623
"Strafford County, New Hampshire",33017,New Hampshire,.069895,n/a**,.0701754,.0606595,.0631896,.0368671,464,n/a**,457,.0936851,91811,88942,92042
"Douglas County, Colorado",08035,Colorado,.069816,n/a**,.0696347,.0314602,.0302734,.0365621,688,n/a**,692,.1885412,151762,144636,153119
"Windham County, Vermont",50025,Vermont,.0697368,n/a**,.0700204,.0519796,.0455201,.1412094,664,n/a**,674,.0691217,71700,51085,72757
"Crawford County, Wisconsin",55023,Wisconsin,.0695825,n/a**,.0695825,.0584784,.0588668,.0477941,n/a*,n/a**,n/a*,.0562365,66507,78380,66242
"Carroll County, Iowa",19027,Iowa,.0695103,n/a**,.0699523,.0198576,.0193492,.0358891,n/a*,n/a**,n/a*,.0305705,73480,46748,74178
"Sullivan County, New Hampshire",33019,New Hampshire,.0695035,n/a**,.0695035,.0698264,.070817,.050645,580,n/a**,580,.0499258,78324,90037,77886
"McKenzie County, North Dakota",38053,North Dakota,.0694864,n/a*,.0627178,.1528156,.1272585,.2408342,n/a*,n/a*,n/a*,.2251387,105700,62234,113591
"Snyder County, Pennsylvania",42109,Pennsylvania,.0690608,n/a**,.0698975,.1053549,.1069477,.0734137,405,n/a**,405,.0491564,72603,135016,71214
"Sweet Grass County, Montana",30097,Montana,.0689655,n/a**,.0689655,.0583882,.0585664,.0555556,n/a*,n/a**,n/a*,.0588556,67334,74758,66763
"Clearwater County, Idaho",16035,Idaho,.0688259,n/a**,.0688259,.117024,.1107203,.1876972,n/a*,n/a**,n/a*,.0975441,56978,56362,57014
